#nr	WSJID	Relation	pdtbConn	pdtbSense	rstSense	context-2	arg1	arg2	context+1
457	629	Implicit	indeed	Expansion.Restatement.Specification	explanation-argumentative	"""They're trying to plug the various loopholes, but they're totally unprepared for this."" Because of the large amounts of money being raised, the loose disclosure requirements and the casual monitoring of how the money is used, some analysts fear that there could be a few mega-crashes, which could hurt market confidence far more than the small bankruptcies that followed the boom of 1986."	The government insists that such a possibility is low //	despite loose regulation of the market itself, its longstanding regulation of industry will prevent such crashes,	according to the government.
629	640	Implicit	for example	Expansion.Instantiation	example	El Paso, Austin and Fort Worth, the three strongest retail markets in the nation, are all located in Texas, where employment grew a relatively strong 2%. Massachusetts, which has lost jobs in the computer and defense-related industries, was the weakest link in bleak New England. 	The results reflect a reversal in the fortunes of the regions during the past two years //	in 1987, the West had the slowest sales growth, and the South and the Midwest were first and second respectively, according to the council.	Mr. Lagnado said that although retailers probably won't ever recover sales lost because of the California quake and Hurricane Hugo, they could see some benefits later on.
711	655	Explicit	while	Comparison.Concession.Expectation	antithesis	"Senate Minority Leader Robert Dole (R., Kan.) said yesterday on ""Meet the Press"": ""I would hope after his {Mr. Ortega's} act yesterday or the day before, we'd have unanimous support for quick action on remaining humanitarian aid."" Sen. Dole also said he hoped for unanimous support for a resolution he plans to offer tomorrow denouncing the Nicaraguan leader. "	Renewing military aid had been considered out of the question, rejected by Congress and de-emphasized by the Bush administration //	Mr. Ortega's statement provides Contra supporters with the opportunity to press the administration on the issue.	"""The administration should now state that if the {February} election is voided by the Sandinistas . . . they should call for military aid,"" said former Assistant Secretary of State Elliott Abrams."
725	656	Explicit	although	Comparison.Concession.Expectation	concession	The transaction will take place tomorrow. The filing said Petrie Stores of Secaucus, N.J., is purchasing Mr. Petrie's Deb Shops stake as an investment.	Petrie Stores has considered seeking to acquire the remaining equity of Deb Stores //	it has no current intention to pursue such a possibility, the filing said.	Philadelphia-based Deb Shops said it saw little significance in Mr. Petrie selling his stock to Petrie Stores.
843	666	Explicit	although	Comparison.Concession.Expectation	antithesis	"Great Northern Nekoosa said, ""The odds of the dire predictions about us being right are small."" International Paper emphasizes that it is better positioned than most companies for the coming overcapacity because its individual mills can make more than one grade of paper. A Boise-Cascade spokesman referred to a speech by Chairman John Fery, in which he said"	that markets generally are stable //	some risk of further price deterioration exists.	Stone Container Chairman Roger Stone said that, unlike for some other paper products, demand for Stone's principal commodity, unbleached containerboard, remains strong.
998	677	Implicit	for example	Expansion.Instantiation	evidence	"""The pilot program was received well (by teachers and students), but there wasn't reason enough to sign up. We even invited the public to stop by and see the program, but there wasn't much interest."" "	Advertisers are showing interest //	last month, Whittle had sold $150 million in advertising time on the network to national advertisers.	Mr. Whittle Friday said several more advertisers have been added.
1374	694	Implicit	furthermore	Expansion.Conjunction	elaboration-additional	"This legislation was not drafted by a handful of Democratic ""do-gooders."" Quite the contrary -- it results from years of work by members of the National Council on the Handicapped, all appointed by President Reagan. You depict the bill as something Democratic leaders ""hoodwinked"" the administration into endorsing."	The opposite is true: It's the product of many meetings with administration officials, Senate staffers, advocates, and business and transportation officials //	many congressmen are citing the compromise on the  Americans With Disabilities Act of 1989  as a model for bipartisan deliberations.	Most National Council members are themselves disabled or are parents of children with disabilities.
1436	1102	Implicit	and	Expansion.Conjunction	elaboration-additional	The news also knocked the British unit to below 2.95 marks in London, but a bout of short-covering helped sterling recoup some of its earlier losses. On the Commodity Exchange in New York, gold for current delivery jumped $3.20 to $370.20 an ounce.	The close was the highest since Aug. 15 //	estimated volume was a light two million ounces.	In early trading in Hong Kong Wednesday, gold was quoted at $368.25 an ounce. 
1712	1121	Implicit	for example	Expansion.Restatement.Specification	example	But should they spy one, the company will pay a bonus equal to one-third its value. For these workers at the bottom of the mine's pay scale, this is usually enough to overcome the temptation to steal -- a crime that could earn them up to 15 years in jail. 	Still, employees do occasionally try to smuggle out a gem or two //	one man wrapped several diamonds in the knot of his tie.	Another poked a hole in the heel of his shoe.
2225	1145	Implicit	by contrast	Comparison.Contrast.Juxtaposition	Contrast	Assuming full operation of the Seabrook nuclear power plant, which is completed but isn't yet operating, equity holders would receive up to $500 million in cash, preferred stock and new 10-year Seabrook bonds. Northeast's previous offer had proposed that equity holders receive just $165 million. 	In addition, Northeast promised the State of New Hampshire that rate increases would be limited to 5.5% annually for seven years //	its previous proposal had conditioned rate limits on Seabrook operations and other contingencies.	"Wilbur Ross, financial adviser to the equity holders said, ""Given the state's strong bargaining position . . . we believe the NU plan provides the best recovery available"" to PS of New Hampshire's equity holders. "
2280	1146	Implicit	by contrast	Comparison.Contrast.Opposition	antithesis	"""We are dealing with real entrepreneurs,"" says Antoni Leopold, an economist who advises Rural Solidarity, the union's countryside offshoot. ""There are a lot of them, and they have property."" "	Polish peasants, spurning the collectivizers, were once a source of shame to orthodox Communists //	now they are objects of envy among Communist reformers.	Food is the reformer's top priority, the key to popular support.
2669	1158	Implicit	rather	Comparison.Contrast	antithesis	Star lecturer at Harvard, author of numerous popular books on science, and scourge of the creationist lobby, Mr. Gould is perhaps the world's most eminent evolutionary theorist. Yet he puts quite a twist on the old story handed down from Darwin.	For him, natural history is anything but a gradual, predictable march from primordial slime to human consciousness //	it is a careening, chaotic affair in which the emergence of a featherless biped was a one-in-a-million shot.	"In ""Wonderful Life: The Burgess Shale and the Nature of History"" (Norton, 326 pages, $19.95), Mr. Gould makes his case for ""the awesome improbability of human evolution."""
2806	1162	Implicit	specifically	Expansion.Restatement.Specification	evidence	Here is the red tape that irks surveyed business owners the most: ENVIRONMENTAL REGULATIONS:	Next to medical insurance,  costs of compliance  are the fastest-growing expense at Impco Inc., a Providence, R.I., chemical company //	spending on regulatory paper work and the people to do it -- mostly to comply with federal, state and local environmental laws -- will rise almost 30% this year to $100,000.	Mr. Gebhard adds that spending on environmental red tape amounts to between 6.5% and 7.5% of Impco's total operating expenses. 
