#itemID,listID,condition,story,answer
Filler11,1,Filler,"Gary's favorite holiday is Christmas and now he's wondering how to celebrate it this year. He'd like to go to South Africa, because his parents recently moved there and he'd like to surprise them. However, he heard that the public security in South Africa has a __ . ",bad reputation
ALT_22,1,xy1Az1,"Jerry organized a workshop for his colleagues' kids and wanted to entertain them after giving them a tour of the work place. He thought of playing a board game with them in the office, although the kids expressed their preference for physical games during the class discussion. Jerry taught them how to play __ . ",checkers
ALT_8,1,xy2Bz1,"Joe's weekend was reserved for helping his grandma because they were organizing the garden for a small family party. He started with planting the flowers in a flower bed facing a neigbouring garden, but grandma wanted him to trim the hedge that they had recently planted. He spent a lot of time on __ .",the hedge
Filler3,1,Filler,"Peter is looking for Scottish recipes he can use to impress his visitors from overseas. Haggis would be a good dish to serve, because he used to love his mother's haggis when he was a child. But not everyone likes sheep __ .",intestines
ALT_16,1,xy2Az1,"Tim and Sue were about to have their 10th wedding anniversary, and Tim wanted to surprise Sue with an expensive gift this time. He considered buying her jewellery with some precious stone, although he knew Sue wanted to have the German car that she had seen in a magazine. He bought her __ . ",car 
Filler5,1,Filler,"Kate wants to go visit her brother over the weekend with her newborn baby. She's thinking about driving there because it's less of a hassle than traveling by train with a newborn baby. Also, driving will probably be faster than __ . ",traveling by train
Filler12,1,Filler,"Helen found some evidence that Ben, her colleague and friend, had violated the company rules. She's considering reporting it to a superior, because the violation may lead to losses for the company. Also, she will be an accomplice if she __ . ",doesn't say anything
ALT_18,1,xy2Az1,"After graduation from a Master's program and doing a couple of internships, Rosaline had to decide what to do next. She applied for job positions at some well-known companies all around the US, although she preferred to work in academia given her personality and life plans. She started __ .  ",PhD
ALT_15,1,xy2Bz1,"Benjamin loved cooking international food and once he invited friends to his place to try an evening meal. He purchased the ingredients for making a curry with chicken breast and lentils, but his guests wanted him to make a dish from Japan that he had advertised about before. He made a delicious __ . ",sushi
ALT_7,1,xy2Bz1,"Mary was taking a course on the far eastern cultures and was assigned to conduct research on a Japanese tradition. She found some articles on wedding ceremonies in different areas, but she wanted to study Japanese funeral traditions and their cultural significance. She wrote a report on __ . ",the cremation practices 
ALT_24,1,xy1Az1,"Andrea's professor strongly recommended she visit colleagues at Columbia University, despite limited funding. Andrea called several youth hostels in New York City to check whether they had a room for her, although she could stay with two friends that she knew from a previous visit. She stayed __ . ",in a hostel room
ALT_5,1,xy1Az1,"In an assessment form, Allen was asked about the personality of his junior boss, Julia. Allen intended to indicate that Julia was an impatient boss with people who worked with her, although he once experienced Julia's tolerant reaction after a delayed assignment delivery. He answered that Julia was __ . ",impatient
Filler4,1,Filler,"Joseph got a job offer from the Edinburgh Zoo right after his graduation from an expensive college. He thinks he should take the job, even though it might not be ideal. He needs the money now, because he should start __ . ",paying off his student loans
